アクロバット	団/だん
部員	組織/そしき/クラブ/サークル/空手部/からてぶ/テニス部/テニスぶ/チェス部/チェスぶ/マンガ部/マンガぶ/漫画部/まんがぶ/野球部/やきゅうぶ/硬式野球部/こうしきやきゅうぶ/軟式野球部/なんしきやきゅうぶ/硬式テニス部/こうしきテニスぶ/ソフトテニス部/ソフトテニスぶ/バレーボール部/バレーボールぶ/ビーチバレー部/ビーチバレーぶ/バスケットボール部/バスケットボールぶ/サッカー部/サッカーぶ/フットサル部/フットサルぶ/ラグビー部/ラグビーぶ/アメリカンフットボール部/アメリカンフットボールぶ/バドミントン部/バドミントンぶ/タッチフットボール部/タッチフットボールぶ/卓球部/たっきゅうぶ/ソフトボール部/ソフトボールぶ/ラクロス部/ラクロスぶ/ハンドボール部/ハンドボールぶ/フィールドホッケー部/フィールドホッケーぶ/アイスホッケー部/アイスホッケーぶ/水球部/すいきゅうぶ/ゴルフ部/ゴルフぶ/ビリヤード部/ビリヤードぶ/ボウリング部/ボウリングぶ/ゲートボール部/ゲートボールぶ/スカッシュ部/スカッシュぶ/セパタクロー部/セパタクローぶ/柔術部/じゅうじゅつぶ/弓術部/きゅうじゅつぶ/棒術部/ぼうじゅつぶ/武道部/ぶどうぶ/相撲部/すもうぶ/柔道部/じゅうどうぶ/剣道/けんどうぶ/居合道部/いあいどうぶ/弓道部/きゅうどうぶ/合気道部/あいきどうぶ/杖道部/じょうどうぶ/銃剣道部/じゅうけんどうぶ/短剣道部/たんけんどうぶ/太極拳部/たいちぶ/フェンシング部/フェンシングぶ/アーチェリー部/アーチェリーぶ/レスリング部/レスリングぶ/ボクシング部/ボクシングぶ/テコンドー部/テコンドーぶ/キックボクシング_ムエタイ部/キックボクシング_ムエタイぶ/カポエイラ部/カポエイラぶ/水泳部/すいえいぶ/スキー部/スキーぶ/スノーボード部/スノーボードぶ/ソリ部/ソリぶ/ボブスレー部/ボブスレーぶ/リュージュ部/リュージュぶ/スケルトン部/スケルトンぶ/登山部/とうざんぶ/ワンダーフォーゲル部/ワンダーフォーゲルぶ/ハイキング部/ハイキングぶ/ボート競技部/ぼーときょうぎぶ/レガッタ部/レガッタぶ/カヌー部/カヌーぶ/カッターボート部/カッターボートぶ/ヨット部/ヨットぶ/セーリング部/セーリングぶ/ウィンドサーフィン部/ウィンドサーフィンぶ/サーフィン部/サーフィンぶ/水上スキー部/すいじょうスキーぶ/ダイビング部/ダイビングぶ/スキューバダイビング部/スキューバダイビングぶ/スキンダイビング部/スキンダイビングぶ/ローラースケート部/ローラースケートぶ/スケートボード部/スケートボードぶ/ハンググライダー部/ハンググライダーぶ/パラグライダー部/パラグライダーぶ/自転車部/じてんしゃぶ/陸上競技部/りくじょうきょうぎぶ/スケート部/スケートぶ/フィギュアスケート部/フィギュアスケートぶ/スピードスケート部/スピードスケートぶ/体操部/たいそうぶ/体操競技部/たいそうきょうぎぶ/新体操部/しんたいそうぶ/トランポリン部/トランポリンぶ/ウエイトリフティング部/ウエイトリフティングぶ/パワーリフティング部/パワーリフティングぶ/エアロビクス部/エアロビクスぶ/ボディビル部/ボディビルぶ/馬術部/ばじゅつぶ/応援団部/おうえんだんぶ/チアリーディング部/チアリーディングぶ/バトントワリング部/バトントワリングぶ/航空部/こうくうぶ/ダーツ部//ダーツぶ/ダンス部/ダンスぶ/フォークダンスぶ/フォークダンス部/ヤートセ部/ヤートセぶ/芸術部/げいじゅつぶ/吹奏部/すいそうぶ/ギター部/ギターぶ/ハンドベル部/ハンドベルぶ/マンドリン部/マンドリンぶ/三味線部/しゃみせんぶ/太鼓部/たいこぶ/ロック部/ロックぶ/ジャズ部/ジャズぶ/フォークソング部/フォークソングぶ/合唱部/がっしょうぶ/コーラス部/コーラスぶ/美術部/びじゅつぶ/絵画部//イラスト部/イラストぶ/演劇部/えんげきぶ/落語部/らくごぶ/写真部/しゃしんぶ/デジタル写真部/デジタルしゃしんぶ/映画部/まんがぶ/放送部/ほうそうぶ/放送研究会部/ほううそうけんきゅうかいぶ/書道部/しょどうぶ/茶道部/さどうぶ/華道部/かどうぶ/漫画部/まんがぶ/アニメーション部/アニメーションぶ/創作部/そうさくぶ/テーブルゲーム部/テーブルゲームぶ/囲碁部/いごぶ/将棋部/しょうぎぶ/麻雀部/マージャンぶ/トランプ部/トランプぶ/TRPG/かるた部/かるたぶ/エレクトロニック部/エレクトロニックぶ/スポーツ部/スポーツぶ/ビデオゲーム部/ビデオゲームぶ/テレビゲーム部/テレビゲームぶ/コンピュータゲーム部/コンピュータゲームぶ/テトリス部/テトリスぶ/コンピューター部/コンピューターぶ/パソコン部/パソコンぶ/クイズ部/クイズぶ/ルービックキューブ部/ルービックキューブぶ/奇術部/きじゅつぶ/マジック部/マジックぶ/芸能部/げいのうぶ/広告部/こうこくぶ/アイドル部/アイドルぶ/ゴシップ研究部/ゴシップけんきゅうぶ/社会部/しゃかいぶ/文芸部/ぶんげいぶ/文学部/ぶんがくぶ/民俗学部/みんぞくがくぶ/科学部/かがくぶ/化学部/生物部/せいぶつぶ/物理部/ぶつりぶ/地学部/ちがくぶ/天文部/てんもんぶ/数学部/すうがくぶ/農業部/のうぎょうぶ/園芸部/えんげいぶ/畜産部/ちくさんぶ/社会部/しゃかいぶ/地理部/ちりぶ/歴史部/れきしぶ/旅行部/りょこうぶ/外国語部/がいこくごぶ/英語部/えいごぶ/英会話部/えいかいわぶ/ESS/ドイツ語部/ドイツごぶ/フランス語部/フランスごぶ/アラビア語部/アラビアごぶ/ロシア語部/ロシアごぶ/商業部/しょうぎょうぶ/簿記部/ぼきぶ/新聞部/しんぶんぶ/報道部/ほうどうぶ/マスコミ部/マスコミぶ/政治部/せいじぶ/弁論部/べんろんぶ/ディベート部/ディベートぶ/福祉部/ふくしぶ/ボランティア部/ボランティアぶ/赤十字部//赤十字部/せきじゅうじかぶ/教育部/きょういくぶ/交通機関部/こうつうきかんぶ/鉄道部/てつどうぶ/技術部/ぎじゅつぶ/コンピュータ部/コンピュータぶ/電子計算機部/でんしけいさんきぶ/情報技術部/じょうほうぎじゅつぶ/情報メディア部/じょうほうメディアぶ/ワープロ部/ワープロぶ/ロボット部/ロボットぶ/機械部/きかいぶ/工作部/こうさくぶ/自動車部/じどうしゃぶ/バイク部/バイクぶ/船部/ふねぶ/水上オートバイ部/すいじょうオートバイぶ/航空部/こうくうぶ/サイクリング部/サイクリングぶ/ラジオ部/ラジオぶ/電子工作部/でんしこうさくぶ/航空研究会/こうくうけんきゅうかい/スポーツ部/スポーツぶ/料理部/りょうりぶ/菓子部/かしぶ/評論部/ひょうろんぶ/パチンコ部/パチンコぶ/競馬部/きょうばぶ/
会議員	会議/かいぎ
医者	病院/びょういん/医科研/いかけん
委員	委員会/いいんかい
俳優	劇団/げきだん
暴力者	暴力団/ぼうりょくだん
主人公	映画/えいが/ストーリー/本/ほん/物語/ものがたり/作品/さくひん/新作/しんさく/最新作/さいしんさく
歌手	バンド/デュオ/トリオ/カルテット
消防士	消防署/しょうぼうしょ
常連	店/みせ
部首	漢字/かんじ
ピクセル	画面/がめん/スクリーン/液晶画面/えきしょうがめん
