可	不可/ふか/無能/むのう/不可能/ふかのう/無理/むり
薄い	濃い/こい/密うっそうたる/みつうっそうたる/木深い/きふかい/鬱葱たる/うつねぎたる/蔚然たる/うつぜんたる/濃密/のうみつ/蓊鬱たる/おううつたる/鬱然たる/鬱蒼たる/うっそうたる/蓊欝たる/木ぶかい/きぶかい/鬱々たる/うつ々たる
短い	長い/ながい/長やか/ちょうやか/長々しい/ながながしい/長長しい/ちょうながしい/久しい/ひさしい/永々しい/えい々しい/永い/永永しい/えいえいしい/永やか/えいやか
普通	変/へん/風変わり/かぜかわり/珍妙/ちんみょう/けったい/一風変った/いっぷうかえった/狂逸/きょういつ/怪奇/かいき/一風変わった/いっぷうかわった/エキセントリック/奇怪/きかい/奇矯/ききょう/妙/みょう/奇異/きい/風変り/ふうがわり/奇/き/奇奇怪怪/ききかいかい/突飛/とっぴ/奇抜/きばつ/奇怪千万/きかいせんまん/奇々怪々
凸凹	平らか/たいらか/平たい/ひらたい/平々たる/たいら々たる/平ったい/ひらったい/フラット/坦坦たる/たんたんたる/平たん/ひらたん/坦々たる/たん々たる/平ら/たいら/平/平平たる/へいへいたる/真っ平/まことったいら
便利	不便/ふべん/不都合/ふつごう/差し合い/さしあい/さし支え/さしささえ/迷惑/めいわく/さし合い/差しあい/差支え/さしつかえ/差支/さし/支障/ししょう/障り/さわり/差しさわり/さしさわり/差合/さごう/差し支え/差合い/さあい/差しつかえ/面倒くさい/めんどうくさい
古い	新しい/あたらしい/新品/しんぴん/ホヤホヤ/最新/さいしん/初々しげ/ういういしげ/耳新しい/みみあたらしい/こと新しい/ことあたらしい/真新しい/まことあたらしい/目新しい/めあたらしい/耳あたらしい/清新/せいしん/事あたらしい/新奇/しんき/新/しん/新鮮/しんせん/目あたらしい/新規/斬新/ざんしん/初初しげ/事新しい/初/はつ/新式/しんしき/新た/あらた
細かい	おおまか/粗い/あらい/粗放/そほう/粗大/そだい/大雑把/おおざっぱ/おおざっぱ/アバウト/大まか
謙虚	横柄/おうへい/大柄/おおがら/不遜/ふそん/傲慢/ごうまん/高慢/こうまん/傲岸/ごうきし/偉そう/えらそう/傲然たる/ごうぜんたる/傲慢不遜/ごうまんふそん/豪然たる/高慢ちき/こうまんちき/横風/よこかぜ/尊大/そんだい/驕慢/きょうまん/驕傲/きょうごう/腰高/こしたか/頭勝/あたまかち
広い	狭い/せまい/手狭/てぜま/狭小/きょうしょう/せせこましい/所せまい/ところせまい/所狭い/狭隘/きょうあい/激狭/げききょう
無色	色/しょく/カラフル/多彩/たさい/極彩色/ごくさいしき
同じ	違う/ちがう/異なる/ことなる/異に/ことに/事変る/じへんる/異る/相違/そうい
厚い	薄い/うすい/薄べったい/はくべったい/薄ぺら/はくぺら/ぺらぺら/薄っぺら/うすっぺら
暇	忙しい/いそがしい/忙わしい/ぼうわしい/忙しげ/いそがしげ/忙しい/せわしい/慌だしい/こうだしい/慌しい/こうしい/多端/たたん/草々/そうそう/怱々たる/そうそうたる/匆匆たる/草草/くさくさ/怱忙/そうぼう/煩忙/はんぼう/怱怱たる/繁忙/多忙/たぼう
悪い	いい/良い/よい/善い/良/りょう/最適/さいてき/最良/さいりょう
上	下側/したがわ/下/した/真下/ました
空	いっぱい/はみ出す/はみだす/フール
透明	濁り/にごり/混濁/こんだく/汚れる/よごれる
涼しい	温かい/おんかい/暑い/あつい/a蒸し暑い/aむしあつい/暑苦しい/あつくるしい
きつい	緩め/ゆるめ/ゆるゆる/弛い/ちい/緩々/かん々/ぶかぶか/緩緩/かんかん
穏やか	激しい/はげしい/荒らか/あらか/強烈/きょうれつ/猛烈/もうれつ/凄まじい/すごまじい/繽紛たる/ひんふんたる/烈烈たる/れつれつたる/烈しい/大荒/だいこう/劇しい/悽絶/せいぜつ/荒々しい?大荒れ/こう々しい?おおあれ/猛/たけし/凄じい/せいじい/烈々たる/れつ々たる/猛然たる/もうぜんたる/荒い/あらい/荒荒しい/こうこうしい/嶮しい/けんしい/荒っぽい/あらっぽい/凄絶
